Election Date,Description,Total Counties,Total Precincts,Eligible Registered Voters,Total Ballots Counted,Turnout
2023-11-07,General Election,39,8078,4829084,1758084,0.3641
2023-08-01,Primary,36,6474,3865926,1116963,0.2889
2023-04-25,April Special Election,19,3189,1671514,530405,0.3173
2023-02-14,February Special Election,29,2543,1370164,451969,0.3299
2022-11-08,General Election,39,8021,4806852,3067686,0.6382
2022-08-02,Primary,39,8018,4803741,1941933,0.4043
2022-04-26,April Special Election,19,1106,763829,240236,0.3145
2022-02-08,February Special Election,38,5348,3080390,966966,0.3139
2021-11-02,General Election,39,7722,4814675,1896481,0.3938
2021-08-03,Primary,37,6774,4355213,1294522,0.2972
2021-04-27,April Special Election,19,576,326147,111739,0.3426
2021-02-09,February Special Election,27,973,760234,300066,0.3947
2020-11-03,General Election,39,7436,4892871,4116894,0.8414
2020-08-04,Primary,39,7435,4612018,2510881,0.5444
2020-04-28,April Special Election,10,140,52179,25031,0.4797
2020-03-10,Presidential Primary,39,7399,4553013,2256488,0.4956
2020-02-11,February Special Election,39,3573,2107506,754603,0.3581
2019-11-05,General Election,39,7361,4503871,2035401,0.4519
2019-08-06,Primary,35,6421,3967681,1173009,0.2956
2019-04-23,April Special Election,16,902,546595,164099,0.3002
2019-02-12,February Special Election,33,2680,1614219,531768,0.3294
2018-11-06,General Election,39,7269,4362459,3133462,0.7183
2018-08-07,Primary,39,7126,4299309,1753545,0.4079
2018-04-24,April Special Election,24,1390,834458,263045,0.3152
2018-02-13,February Special Election,37,4850,2761020,896507,0.3247
2017-11-07,General Election,39,7310,4265433,1582481,0.3710
2017-08-01,Primary,36,6351,3781977,1017946,0.2692
2017-04-25,April Special Election,15,568,388199,125027,0.3221
2017-02-14,February Special Election,35,1445,815106,314039,0.3853
2016-11-08,General Election,39,7165,4270270,3363440,0.7876
2016-08-02,Primary,39,7147,4102624,1431058,0.3488
2016-05-24,Presidential Primary,39,7142,4088029,1421841,0.3478
2016-04-26,April Special Election,22,3489,989862,323691,0.3270
2016-02-09,February Special Election,34,5370,2227833,741857,0.3330
2015-11-03,General Election,39,7237,3974947,1528272,0.3845
2015-08-04,Primary,34,5917,3356735,817876,0.2437
2015-04-28,April Special Election,20,3363,1720133,480586,0.2794
2015-02-10,February Special Election,35,1408,771690,314606,0.4077
2014-11-04,General Election,39,7068,3922248,2124330,0.5416
2014-08-05,Primary,39,6978,3925663,1222710,0.3115
2014-04-22,April Special Election,21,3159,1589634,586032,0.3687
2014-02-11,February Special Election,37,3190,2245127,744899,0.3318
2013-11-05,General Election,39,7014,3914786,1772290,0.4527
2013-08-06,Primary,36,3505,3221285,837098,0.2599
2013-04-23,April Special Election,21,478,272986,107132,0.3924
2013-02-12,February Special Election,31,1118,760369,305806,0.4022
2012-11-06,General Election,39,6975,3904959,3172939,0.8125
2012-08-07,Primary,39,6978,3731657,1435928,0.3848
2012-04-17,April Special Election,21,647,476048,189110,0.3972
2012-02-14,February Special Election,39,2324,1394035,586487,0.4207
2011-11-08,General Election,39,6792,3658413,1936950,0.5295
2011-08-16,Primary,35,5123,2776149,819991,0.2954
2011-05-17,May Special Election,6,96,67614,32616,0.4824
2011-04-26,April Special Election,16,281,126081,59936,0.4754
2011-02-08,February Special Election,28,967,674769,290286,0.4302
2010-11-02,General Election,39,6777,3601268,2565589,0.7124
2010-08-17,Primary,39,6778,3592079,1471791,0.4097
2010-05-18,May Special Election,1,27,11389,6605,0.5799
2010-04-27,April Special Election,15,828,538920,213163,0.3955
2010-02-09,February Special Election,35,2379,1615185,646608,0.4003
2009-11-03,General Election,39,6767,3583278,1823364,0.5089
2009-08-18,Primary,32,4785,2334067,724598,0.3104
2009-05-19,May Special Election,9,276,100586,47472,0.4720
2009-04-28,April Special Election,2,31,4124,2284,0.5538
2009-03-10,March Special Election,18,557,353088,163045,0.4618
2009-02-03,February Special Election,21,740,391851,161131,0.4112
2008-11-04,General Election,39,6671,3630118,3071587,0.8461
2008-08-19,Primary,39,6674,3417355,1455756,0.4260
2008-05-20,May Special Election,11,523,354659,154001,0.4342
2008-04-22,April Special Election,6,56,27211,12413,0.4562
2008-03-11,March Special Election,12,409,278200,109937,0.3952
2008-02-19,February Special Election,39,6685,3311503,1386701,0.4188
2007-11-06,General Election,39,6691,3288642,1645652,0.5004
2007-08-21,2007 Primary,-,-,2680339,757311,0.2825
2006-11-07,2006 General,-,-,3264511,2107370,0.6455
2006-09-19,2006 Primary,-,-,3182209,1243992,0.3909
2005-11-08,2005 General,-,-,3374541,1850017,0.5482
2005-09-20,2005 Primary,-,-,2701807,863489,0.3196
2004-11-02,2004 General,-,-,3514436,2883655,0.8205
2004-09-14,2004 Primary,-,-,3279205,1480247,0.4514
2003-11-04,2003 General,-,-,3212043,1300602,0.4049
2003-09-16,2003 Primary,-,-,1076966,194001,0.1801
2002-11-05,2002 General,-,-,3209648,1808720,0.5635
2002-09-17,2002 Primary,-,-,3238601,1107861,0.3421
2001-11-06,2001 General,-,-,3291103,1464891,0.4451
2001-09-18,2001 Primary,-,-,323927,62657,0.1934
2000-11-07,2000 General,-,-,3335714,2517028,0.7546
2000-09-19,2000 Primary,-,-,3234700,1319775,0.4080
1999-11-01,1999 General,-,-,3099553,1790518,0.5777
1999-09-01,1999 Primary,-,-,283101,79885,0.2822
1998-11-01,1998 General,-,-,3119562,1939421,0.6217
1998-09-01,1998 Primary,-,-,3082341,1087650,0.3529
1997-11-01,1997 General,-,-,3032992,1718307,0.5665
1997-09-01,1997 Primary,-,-,63988,24657,0.3853
1996-11-01,1996 General,-,-,3078208,2293895,0.7452
1996-09-01,1996 Primary,-,-,2973143,1250617,0.4206
1995-11-01,1995 General,-,-,2834181,1397039,0.4929
1995-09-01,1995 Primary,-,-,540889,184822,0.3417
1994-11-01,1994 General,-,-,2896319,1733371,0.5985
1994-09-01,1994 Primary,-,-,2846753,983196,0.3454
1993-11-01,1993 General,-,-,2780033,1542599,0.5549
1993-09-14,1993 Primary,-,-,250398,54001,0.2157
1992-11-01,1992 General,-,-,2814680,2324907,0.8260
1992-09-15,1992 Primary,-,-,2583731,1183288,0.4580
1991-11-01,1991 General,-,-,2266617,1539034,0.6790
1991-09-17,1991 Primary,-,-,34888,12440,0.3566
1990-11-01,1990 General,-,-,2225101,1362651,0.6124
1990-09-18,1990 Primary,-,-,2184605,670874,0.3071
1989-11-01,1989 General,-,-,2221407,1068721,0.4811
1988-11-01,1988 General,-,-,2499309,1923043,0.7694
1988-09-20,1988 Primary,-,-,2317338,964291,0.4161
1987-11-01,1987 General,-,-,2171365,918816,0.4232
1986-11-01,1986 General,-,-,2230354,1358160,0.6089
1986-09-16,1986 Primary,-,-,2181843,667818,0.3061
1985-11-01,1985 General,-,-,2239900,900078,0.4018
1984-11-01,1984 General,-,-,2457667,1931546,0.7859
1984-09-18,1984 Primary,-,-,2267432,932820,0.4114
1983-11-01,1983 General,-,-,2109096,1238395,0.5872
